Sensor Readings Log
====================
Time: 2024-12-15 01:53:41, Temperature: 18.8 °C, Humidity: 31 %
Time: 2024-12-15 01:55:07, Temperature: 18.7 °C, Humidity: 31 %
Time: 2024-12-15 01:55:09, Temperature: 18.7 °C, Humidity: 31 %
Time: 2024-12-15 01:55:11, Temperature: 18.7 °C, Humidity: 31 %
Time: 2024-12-15 01:55:14, Temperature: 18.7 °C, Humidity: 31 %
Time: 2024-12-15 01:55:16, Temperature: 18.7 °C, Humidity: 31 %
Time: 2024-12-15 01:55:18, Temperature: 18.7 °C, Humidity: 31 %
Time: 2024-12-15 01:55:20, Temperature: 18.7 °C, Humidity: 31 %
Time: 2024-12-15 01:55:23, Temperature: 18.7 °C, Humidity: 31 %
Time: 2024-12-15 01:55:25, Temperature: 18.7 °C, Humidity: 31 %
Time: 2024-12-15 01:55:27, Temperature: 18.7 °C, Humidity: 31 %
Time: 2024-12-15 01:55:29, Temperature: 18.7 °C, Humidity: 31 %
Time: 2024-12-15 01:55:32, Temperature: 18.7 °C, Humidity: 31 %
Time: 2024-12-15 01:55:34, Temperature: 18.7 °C, Humidity: 31 %
Time: 2024-12-15 01:55:36, Temperature: 18.7 °C, Humidity: 31 %
Time: 2024-12-15 01:55:39, Temperature: 18.7 °C, Humidity: 31 %
Time: 2024-12-15 01:55:41, Temperature: 18.7 °C, Humidity: 31 %
Time: 2024-12-15 01:55:43, Temperature: 18.7 °C, Humidity: 31 %
Time: 2024-12-15 01:55:45, Temperature: 18.7 °C, Humidity: 31 %
Time: 2024-12-15 01:55:48, Temperature: 18.7 °C, Humidity: 31 %
Time: 2024-12-15 01:55:50, Temperature: 18.7 °C, Humidity: 31 %
Time: 2024-12-15 01:55:52, Temperature: 18.7 °C, Humidity: 31 %
Time: 2024-12-15 01:55:54, Temperature: 18.7 °C, Humidity: 31 %
Time: 2024-12-15 01:55:57, Temperature: 18.7 °C, Humidity: 31 %
Time: 2024-12-15 01:55:59, Temperature: 18.7 °C, Humidity: 31 %
Time: 2024-12-15 01:56:01, Temperature: 18.7 °C, Humidity: 31 %
Time: 2024-12-15 01:56:03, Temperature: 18.7 °C, Humidity: 31 %
Time: 2024-12-15 01:56:06, Temperature: 18.7 °C, Humidity: 31 %
Time: 2024-12-15 01:56:08, Temperature: 18.7 °C, Humidity: 31 %
Time: 2024-12-15 01:56:10, Temperature: 18.7 °C, Humidity: 31 %
Time: 2024-12-15 01:56:12, Temperature: 18.7 °C, Humidity: 31 %
Time: 2024-12-15 01:56:15, Temperature: 18.7 °C, Humidity: 31 %
Time: 2024-12-15 01:56:17, Temperature: 18.7 °C, Humidity: 31 %
Time: 2024-12-15 01:56:19, Temperature: 18.7 °C, Humidity: 31 %
Time: 2024-12-15 01:56:21, Temperature: 18.7 °C, Humidity: 31 %
Time: 2024-12-15 01:56:24, Temperature: 18.7 °C, Humidity: 31 %
Time: 2024-12-15 01:56:26, Temperature: 18.7 °C, Humidity: 31 %
Time: 2024-12-15 01:56:28, Temperature: 18.7 °C, Humidity: 31 %
Time: 2024-12-15 01:56:30, Temperature: 18.7 °C, Humidity: 31 %
Time: 2024-12-15 01:56:33, Temperature: 18.7 °C, Humidity: 31 %
Time: 2024-12-15 01:56:35, Temperature: 18.7 °C, Humidity: 31 %
Time: 2024-12-15 01:56:37, Temperature: 18.7 °C, Humidity: 31 %
Time: 2024-12-15 01:56:39, Temperature: 18.7 °C, Humidity: 31 %
Time: 2024-12-15 01:56:42, Temperature: 18.7 °C, Humidity: 31 %
Time: 2024-12-15 01:56:44, Temperature: 18.7 °C, Humidity: 31 %
Time: 2024-12-15 01:56:46, Temperature: 18.7 °C, Humidity: 31 %
